SUBJECT,CODE,TITLE,CREDIT,ATTRIBUTE,EXCLUSION STR,PREREQUISITE STR,COREQUISITE STR,DESCRIPTION,COLIST WITH STR,VECTOR,PREVIOUS CODE,OFFER IN
"ACCT","1010","Accounting, Business and Society","3","(SA)","ACCT 2010","-","-","Overview of accounting in business and social contexts; use of accounting information for accountability and decision making in companies, non-profit organizations, and government; major elements of accounting, including assets, liabilities, revenues and expenses; discharge of accountability by companies through corporate social and environmental reports.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Summer', '2016-17 Spring']"
"ACCT","1610","Introduction to Business Law","3","(SA)","ACCT 3610","-","-","This course provides an introduction to law and business society. Topics include general introduction to the concepts in law; an introduction to the Hong Kong legal system under the principle of ""one country, two systems""; transplantation of the common law system into China; copyright law; trademark law; agency law; insolvency law; and business ethics. As Hong Kong is a well-developed business society, this course is intended to explore societal issues through the lens of business law.","-","-","-","['2017-18 Spring']"
"ACCT","2010","Principles of Accounting I","3","-","-","-","-","For SB&M students, and programs that designate the course as a required/specified elective course. This is the first course of the principles of accounting sequence. Introduction to the concepts and principles of financial accounting, including the analysis, recording, and reporting of business transactions and preparation of financial statements.","-","-","-","['2018-19 Fall', '2017-18 Summer', '2017-18 Fall', '2016-17 Summer']"
"ACCT","2200","Principles of Accounting II","3","-","-","(for non-BIBU students) ACCT 2010 OR ACCT 2020","-","For SB&M students, and programs that designate the course as a required/specified elective course. This is the second course of the principles of accounting sequence. It introduces concepts, accounting methods, and analytical tools related to managerial and cost accounting. Topics include fundamental cost concepts, job-order and process costing systems, CVP analysis, budgets and standards, segment reporting, and decision-making using cost information.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","3010","Financial Accounting I","3","-","ACCT 3030","ACCT 2010","-","Study of the application of generally accepted accounting principles to accounting for business organizations; evaluation of balance sheet accounts and the related effects on income determination.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"ACCT","3020","Financial Accounting II","3","-","ACCT 3030","ACCT 3010","-","Continuation of ACCT 3010. Special problems in accounting for owner's equity and long-term liabilities including corporate bonds, leases, deferred taxation and pensions.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","3030","Intermediate Financial Accounting for Non-Accounting Majors","3","-","ACCT 3010, ACCT 3020","ACCT 2010","-","Financial accounting concepts and practices with particular emphasis on the analysis and interpretation of financial reports and data.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"ACCT","3210","Advanced Management Accounting","3","-","-","ACCT 2200","-","This course covers advanced quantitative methods for management decision-making (decision trees, linear regression, learning curves, and linear programming), pricing and transfer pricing decisions, allocation of common and joint costs, variance analysis, performance measurement and incentive compensation.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","3610","Business Law","3","(SA)","ACCT 3650","-","-","This course is to provide students with an awareness of the overall legal framework in which businesses in Hong Kong operate so as to enable them to apply the relevant laws and practices to business problems and practical solutions. The main objective is to give students an understanding of how the society and business function in different socio-legal contexts like the legal system and process and its influence on citizens’ social rights and duties; the enforcement and honoring of agreement between private citizens, the use of business organizations in commercial society, the relationship between employee and employer from social and legal perspectives, the growing importance of business ethics and corporate social responsibilities etc.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"ACCT","3880","Professional Excellence Program","1","-","-","-","-","Introductory-level seminars and workshops on the accounting/auditing professions; development of life-skills including writing and other communication skills; and individual thinking skills; ethics for accountants. For SB&M students only. Graded P or F.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"ACCT","4010","Advanced Financial Accounting","3","-","-","ACCT 3020","-","Addresses accounting issues associated with (1) intercorporate investment activity that conveys significant influence or control and (2) cross-border activities.  The core topics addressed are business combinations, consolidated financial statements, associated companies, and foreign currency issues.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"ACCT","4020","Financial Statement Analysis","4","-","FINA 3403","ACCT 2010","-","Analyses of a company's accounting policies, ratio and cash flows for the purposes of valuation and risk assessment.  Course is essential for careers in financial management, investment analysis, credit analysis, business valuation, and consulting.  SBM third year standing preferred.","-","-","-","['2017-18 Spring']"
"ACCT","4410","Taxation","3","-","-","-","ACCT 3010 AND ACCT 3610","The Hong Kong taxation system and its administration; taxation of individuals, partnerships and corporations; stamp duty; obligations compliance.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","4510","Auditing","3","-","-","ACCT 3020","-","Objectives, standards and procedures of auditing; preparation of working papers; applications of statistical sampling; computer-assisted auditing and auditing of electronic data processing (EDP) services; professional liability and ethics.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"ACCT","4610","Company Law","3","-","-","ACCT 3610","-","Law relating to companies registered in Hong Kong; company formation and records; share and loan capital; management and administration; reconstructions; mergers and take-overs; liquidation and receivership.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","4710","Accounting Analytics for Professional Accountants","3","-","-","ACCT 2010 AND ISOM 2010","-","Data analytics is reshaping the work of accountants. Applications of data analytics in accounting including: Auditing/Assurance - data analytics techniques used by accounting professionals and auditors nowadays to detect fraud and conduct forensic accounting. Enhancing Financial Reporting: more sophisticated data analytics tools can allow companies to link diverse financial and non-financial datasets and provide more comprehensive and rigorous financial reports to stakeholders. Managing risks: data analytics techniques such as continuous auditing and continuous monitoring can help accounting professionals assess and manage relevant risk levels within their organization. This course aims to provide students with knowledge of the nature and role of data analytics and enable students to apply and understand data analytics technologies to perform audit, enhance financial reporting, and minimize risks as accounting professionals.","-","-","-","['2018-19 Fall']"
"ACCT","5100","Financial Accounting Foundations","2","-","ACCT 5150, IMBA 5030","-","-","Introduction to accounting concepts, preparation and interpretation of financial statements. This is a core course for MBA.","-","[2-0-0:2]","ACCT 510","['2018-19 Fall', '2017-18 Spring', '2017-18 Winter', '2017-18 Fall']"
"ACCT","5140","Financial Statement Analysis","2","-","-","ACCT 5100 OR ACCT 5150 OR Equivalent","-","Integrated analysis of industry strategy, accounting policy, financial ratios and cash flows for application in equity valuation, credit analysis and bond ratings.  Essential for those planning careers in financial management, investment analysis, credit analysis, business valuation, and consulting.","-","[2-0-0:2]","ACCT 514","['2017-18 Spring', '2016-17 Spring']"
"ACCT","5150","Accounting Foundations","2","-","ACCT 5100, IMBA 5030","-","-","Introduction to accounting concepts, preparation and interpretation of financial statements.","-","[2-0-0:2]","ACCT 515","['2018-19 Fall', '2017-18 Fall']"
"ACCT","5160","Corporate Financial Reporting I","2","-","-","ACCT 5100 or ACCT 5150","-","Corporate financial reporting from the perspective of managers and financial statement users, including analysts. Topics include inventories, fixed assets, income taxes, liabilities, leases, off-balance-sheet debt, and dilutive securities.","-","[2-0-0:2]","ACCT 516","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall']"
"ACCT","5170","Corporate Financial Reporting II","2","-","-","ACCT 5160","-","Corporate financial reporting from the perspective of managers and financial statement users, including analysts.  Topics include intercorporate investments, business combinations, multinational operations, pensions, and earnings quality.","-","[2-0-0:2]","ACCT 517","['2018-19 Fall', '2017-18 Fall']"
"ACCT","5180","Advanced Corporate Financial Reporting","2","-","-","ACCT 5160 AND ACCT 5170","-","Reporting of business entities with inter-corporate investments in subsidiaries and/or associated companies and cross-border activities. Topics include business combinations, consolidated financial statements, equity accounting, and translations of foreign currency transactions.","-","[2-0-0:2]","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","5210","Managerial Accounting Foundations","2","-","IMBA 5060","-","-","Use of accounting data in decision-making, financial planning, control, and performance evaluation within organizations. This is a core course for MBA.","-","[2-0-0:2]","ACCT 521","['2018-19 Fall', '2017-18 Summer', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"ACCT","5220","International Treasury Management","2","-","-","-","-","Specialized knowledge in international treasury operation and management control, risk management, inflation and foreign currency changes as well as international transfer pricing.","-","[2-0-0:2]","-","['2017-18 Fall']"
"ACCT","5310","Fundamental and Quantitative Equity Analysis Using Accounting Information","2","-","-","ACCT 5100 OR ACCT 5150 OR Equivalent, AND FINA 5120 OR Equivalent","-","The course covers fundamental equity analysis based on forecasted financial statements. It also introduces quantitative investment strategies based on the  drivers of stock price movements. The course is useful for those planning careers in investment analysis, fund management and consulting.","-","[2-0-0:2]","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","5410","Taxation","2","-","-","-","-","The course introduces the fundamentals of Hong Kong taxation based on case law and legislation. Topics include: property tax, salaries tax, profits tax, depreciation allowances, personal assessment, and stamp duty.","-","[2-0-0:2]","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","5430","Strategic Tax Planning","2","-","-","ACCT 5150","-","This course provides students with the framework of strategic tax planning. Students learn how to integrate the role of tax in various corporate decision-making.","-","[2-0-0:2]","-","['2017-18 Spring', '2016-17 Spring']"
"ACCT","5510","Auditing","2","-","-","-","-","It covers the relevant principles, objectives and ethical requirements of audit and assurance services; identifies the audit process from client acceptance, design of audit procedures and express an appropriate audit conclusion based on the audit evidence obtained. Topics include: audit planning, audit evidence and documentation, internal control, completion of audit, audit opinion and reporting, professional ethics, rights and obligation of auditors.","-","[2-0-0:2]","-","['2018-19 Fall', '2017-18 Spring', '2016-17 Spring']"
